STREET_LOCALITY_ALIAS_PID|DATE_CREATED|DATE_RETIRED|STREET_LOCALITY_PID|STREET_NAME|STREET_TYPE_CODE|STREET_SUFFIX_CODE|ALIAS_TYPE_CODE
L170416|2014-08-01||ACT5935|WINCHCOMBE|STREET||SYN
219544|2020-11-08||ACT3621870|GABARI|STREET||SYN
233148|2021-11-10||ACT4106569|COPPER|STREET||SYN
233693|2022-02-11||ACT4106569|COPPER|CRESCENT||SYN
273283|2026-01-31||ACT3557218|DRAKE BROCKMAN|DRIVE||SYN
236837|2022-05-10||ACT3621921|KERRY|CRESCENT||SYN
L170479|2014-08-01||ACT1296|STONEHAVEN|STREET||SYN
202994|2017-02-02||ACT2998|BINDEL|PLACE||SYN
L170492|2014-08-01||ACT5658|BARTLETT|PLACE||SYN
202995|2017-02-02||ACT2997|BINDEL|STREET||SYN
